TargetLoc,LeftStim,RightStim,CombinedStim,GapL,GapR,GapUL,GapDL,GapUR,GapDR,CurveSegL,CurveSegR,CurveSegUL,CurveSegDL,CurveSegUR,CurveSegDR,IndicatorCenter,TargetShape,iTargetShape,PreSwitchUL,IndicatorUL,PreSwitchDL,IndicatorDL,PreSwitchUR,IndicatorUR,PreSwitchDR,IndicatorDR
Center,CurveSegUL,GapR,CurveSegUL+GapR,0,1,0,0,0,0,0,0,1,0,0,0,Diamond,Diamond,2,,,,,,,,
Center,GapDL,GapR,GapDL+GapR,0,1,0,1,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,,,,,,
Center,GapL,GapR,GapL+GapR,1,1,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,,,,,,
Center,GapUL,GapR,GapUL+GapR,0,1,1,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,,,,,,
Center,CircleDiamondDL,GapUR,CircleDiamondDL+GapUR,0,0,0,0,1,0,0,0,0,0,0,0,Diamond,Diamond,2,,,Circle,Diamond,,,,
Center,CircleDiamondUL,GapUR,CircleDiamondUL+GapUR,0,0,0,0,1,0,0,0,0,0,0,0,Diamond,Diamond,2,Circle,Diamond,,,,,,
Center,CircleSquareDL,GapUR,CircleSquareDL+GapUR,0,0,0,0,1,0,0,0,0,0,0,0,Diamond,Diamond,2,,,Circle,Square,,,,
Center,CircleSquareUL,GapUR,CircleSquareUL+GapUR,0,0,0,0,1,0,0,0,0,0,0,0,Diamond,Diamond,2,Circle,Square,,,,,,
Center,CurveSegDL,GapUR,CurveSegDL+GapUR,0,0,0,0,1,0,0,0,0,1,0,0,Diamond,Diamond,2,,,,,,,,
Center,CurveSegUL,GapUR,CurveSegUL+GapUR,0,0,0,0,1,0,0,0,1,0,0,0,Diamond,Diamond,2,,,,,,,,
Center,GapDL,GapUR,GapDL+GapUR,0,0,0,1,1,0,0,0,0,0,0,0,Diamond,Diamond,2,,,,,,,,
Center,GapL,GapUR,GapL+GapUR,1,0,0,0,1,0,0,0,0,0,0,0,Diamond,Diamond,2,,,,,,,,
Center,GapUL,GapUR,GapUL+GapUR,0,0,1,0,1,0,0,0,0,0,0,0,Diamond,Diamond,2,,,,,,,,
Center,CircleDiamondDL,GapDR,CircleDiamondDL+GapDR,0,0,0,0,0,1,0,0,0,0,0,0,Diamond,Diamond,2,,,Circle,Diamond,,,,
Center,CircleDiamondUL,GapDR,CircleDiamondUL+GapDR,0,0,0,0,0,1,0,0,0,0,0,0,Diamond,Diamond,2,Circle,Diamond,,,,,,
Center,CircleSquareDL,GapUR,CircleSquareDL+GapUR,0,0,0,0,0,1,0,0,0,0,0,0,Diamond,Diamond,2,,,Circle,Square,,,,
Center,CircleSquareUL,GapUR,CircleSquareUL+GapUR,0,0,0,0,0,1,0,0,0,0,0,0,Diamond,Diamond,2,Circle,Square,,,,,,
Center,CurveSegDL,GapUR,CurveSegDL+GapUR,0,0,0,0,0,1,0,0,0,1,0,0,Diamond,Diamond,2,,,,,,,,
Center,CurveSegUL,GapUR,CurveSegUL+GapUR,0,0,0,0,0,1,0,0,1,0,0,0,Diamond,Diamond,2,,,,,,,,
Center,GapDL,GapUR,GapDL+GapUR,0,0,0,1,0,1,0,0,0,0,0,0,Diamond,Diamond,2,,,,,,,,
Center,GapL,GapUR,GapL+GapUR,1,0,0,0,0,1,0,0,0,0,0,0,Diamond,Diamond,2,,,,,,,,
Center,GapUL,GapUR,GapUL+GapUR,0,0,1,0,0,1,0,0,0,0,0,0,Diamond,Diamond,2,,,,,,,,
Center,CircleDiamondDL,CurveSegUR,CircleDiamondDL+CurveSegUR,0,0,0,0,0,0,0,0,0,0,1,0,Diamond,Diamond,2,,,Circle,Diamond,,,,
Center,CircleDiamondUL,CurveSegUR,CircleDiamondUL+CurveSegUR,0,0,0,0,0,0,0,0,0,0,1,0,Diamond,Diamond,2,Circle,Diamond,,,,,,
Center,CircleSquareDL,CurveSegUR,CircleSquareDL+CurveSegUR,0,0,0,0,0,0,0,0,0,0,1,0,Diamond,Diamond,2,,,Circle,Square,,,,
Center,CircleSquareUL,CurveSegUR,CircleSquareUL+CurveSegUR,0,0,0,0,0,0,0,0,0,0,1,0,Diamond,Diamond,2,Circle,Square,,,,,,
Center,CurveSegDL,CurveSegUR,CurveSegDL+CurveSegUR,0,0,0,0,0,0,0,0,0,1,1,0,Diamond,Diamond,2,,,,,,,,
Center,CurveSegUL,CurveSegUR,CurveSegUL+CurveSegUR,0,0,0,0,0,0,0,0,1,0,1,0,Diamond,Diamond,2,,,,,,,,
Center,GapDL,CurveSegUR,GapDL+CurveSegUR,0,0,0,1,0,0,0,0,0,0,1,0,Diamond,Diamond,2,,,,,,,,
Center,GapL,CurveSegUR,GapL+CurveSegUR,1,0,0,0,0,0,0,0,0,0,1,0,Diamond,Diamond,2,,,,,,,,
Center,GapUL,CurveSegUR,GapUL+CurveSegUR,0,0,1,0,0,0,0,0,0,0,1,0,Diamond,Diamond,2,,,,,,,,
Center,CircleDiamondDL,CurveSegDR,CircleDiamondDL+CurveSegDR,0,0,0,0,0,0,0,0,0,0,0,1,Diamond,Diamond,2,,,Circle,Diamond,,,,
Center,CircleDiamondUL,CurveSegDR,CircleDiamondUL+CurveSegDR,0,0,0,0,0,0,0,0,0,0,0,1,Diamond,Diamond,2,Circle,Diamond,,,,,,
Center,CircleSquareDL,CurveSegDR,CircleSquareDL+CurveSegDR,0,0,0,0,0,0,0,0,0,0,0,1,Diamond,Diamond,2,,,Circle,Square,,,,
Center,CircleSquareUL,CurveSegDR,CircleSquareUL+CurveSegDR,0,0,0,0,0,0,0,0,0,0,0,1,Diamond,Diamond,2,Circle,Square,,,,,,
Center,CurveSegDL,CurveSegDR,CurveSegDL+CurveSegDR,0,0,0,0,0,0,0,0,0,1,0,1,Diamond,Diamond,2,,,,,,,,
Center,CurveSegUL,CurveSegDR,CurveSegUL+CurveSegDR,0,0,0,0,0,0,0,0,1,0,0,1,Diamond,Diamond,2,,,,,,,,
Center,GapDL,CurveSegDR,GapDL+CurveSegDR,0,0,0,1,0,0,0,0,0,0,0,1,Diamond,Diamond,2,,,,,,,,
Center,GapL,CurveSegDR,GapL+CurveSegDR,1,0,0,0,0,0,0,0,0,0,0,1,Diamond,Diamond,2,,,,,,,,
Center,GapUL,CurveSegDR,GapUL+CurveSegDR,0,0,1,0,0,0,0,0,0,0,0,1,Diamond,Diamond,2,,,,,,,,
Center,CircleDiamondDL,CircleDiamondDR,CircleDiamondDL+CircleDiamondDR,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,Circle,Diamond,Circle,Diamond,,
Center,CircleDiamondUL,CircleDiamondDR,CircleDiamondUL+CircleDiamondDR,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,Circle,Diamond,,,Circle,Diamond,,
Center,CircleSquareDL,CircleDiamondDR,CircleSquareDL+CircleDiamondDR,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,,,Circle,Square,Circle,Diamond,,
Center,CircleSquareUL,CircleDiamondDR,CircleSquareUL+CircleDiamondDR,0,0,0,0,0,0,0,0,0,0,0,0,Diamond,Diamond,2,Circle,Square,,,Circle,Diamond,,
Center,CurveSegDL,CircleDiamondDR,CurveSegDL+CircleDiamondDR,0,0,0,0,0,0,0,0,0,1,0,0,Diamond,Diamond,2,,,,,Circle,Diamond,,
